filename,Cross,Hook,Jab,UpperCut
videoplayback_mp4-0191_jpg.rf.238927722148c9c088b2820a15b74f58.jpg,0,0,1,0
videoplayback_mp4-0672_jpg.rf.1718b8e4d36b8c04bd6f9e8cd254a19c.jpg,1,0,0,0
videoplayback_mp4-0098_jpg.rf.3a4aeaabf24b5ba632f16c7bda182c4a.jpg,1,0,1,0
videoplayback_mp4-0595_jpg.rf.218f9e2cb5faa44f97c9dd3ac2048008.jpg,1,0,0,0
videoplayback_mp4-0458_jpg.rf.3288ee1760aedd24eb7ef42ef4ccd912.jpg,0,0,0,1
videoplayback_mp4-0796_jpg.rf.2b2e930dabe33380339cac4e038dae68.jpg,0,0,1,0
videoplayback_mp4-0890_jpg.rf.095a31fd155ae96a8ecea7c56ef3ca78.jpg,0,1,0,0
videoplayback_mp4-0454_jpg.rf.49a9be94b302d0531ba618618f35c9da.jpg,0,0,0,1
videoplayback_mp4-0334_jpg.rf.5add7a96c58b3e688cefae6cf60f680e.jpg,0,0,1,0
videoplayback_mp4-0097_jpg.rf.26b0c74b76ae6ff60435c49af5d26dd4.jpg,1,0,1,0
videoplayback_mp4-0592_jpg.rf.5811d57baa45e67e3bee067aee62cf44.jpg,0,0,1,0
videoplayback_mp4-0244_jpg.rf.44bb6bfdae5b39b800da338b2907b97b.jpg,0,0,1,0
videoplayback_mp4-0559_jpg.rf.30bb768b6e70d65751ea2684d4952253.jpg,0,1,0,0
videoplayback_mp4-0629_jpg.rf.032ef85dc7a7ba32d742d9c09e023c95.jpg,0,0,1,0
videoplayback_mp4-0461_jpg.rf.2dae1d23d158bcf8e084492bde3a718d.jpg,0,0,0,1
videoplayback_mp4-0539_jpg.rf.6fe945255fc50d2b1d6462d52dffd2b7.jpg,0,0,1,0
videoplayback_mp4-0340_jpg.rf.76e86a31a83a2baa884f4c47505f3beb.jpg,1,0,0,0
videoplayback_mp4-0902_jpg.rf.8c7fa947da071643ef8725c28673dd5d.jpg,0,0,1,0
videoplayback_mp4-0563_jpg.rf.5e69467489fb8f159b0055c6b6fb73cf.jpg,0,1,0,0
videoplayback_mp4-0880_jpg.rf.97c86cd97f4a7c6fa9a0ea9d0f637b65.jpg,0,0,0,1
videoplayback_mp4-0794_jpg.rf.8c4c3dacca3de09278de6de58c27afa9.jpg,0,0,1,0
videoplayback_mp4-0733_jpg.rf.6a9f553d9c3590b28fe237f14eb458af.jpg,0,1,0,0
videoplayback_mp4-0917_jpg.rf.a51b1bc52d5bdb71bbb3d29003201aa4.jpg,1,0,0,0
videoplayback_mp4-0899_jpg.rf.6a6b57c0070185fb5275e93ca608378a.jpg,0,0,1,0
videoplayback_mp4-0670_jpg.rf.99183a5613c407a896568d42603c2a34.jpg,1,0,0,0
videoplayback_mp4-0627_jpg.rf.8feffa1ebe6aac9e646561d956d344ec.jpg,0,0,1,0
videoplayback_mp4-0568_jpg.rf.9a3939fcfbbfc1c768561ddab8537062.jpg,0,1,0,0
videoplayback_mp4-0561_jpg.rf.973fc3226f8d71c01054c6cb6eca7322.jpg,0,1,0,0
videoplayback_mp4-0919_jpg.rf.49a8450eee10e74ee0ea9af7a22cc891.jpg,1,0,0,0
videoplayback_mp4-0671_jpg.rf.7c74c8d965c427afa3338baeec08f8e0.jpg,1,0,0,0
videoplayback_mp4-0934_jpg.rf.8065075c515a14e9ecb73b175ab8339e.jpg,0,0,1,0
videoplayback_mp4-0044_jpg.rf.94816505918c72586666d26a0de9aa60.jpg,0,0,1,0
videoplayback_mp4-0631_jpg.rf.84d28f56d3e98d6422cf7bb6ea15d6b6.jpg,0,0,1,0
videoplayback_mp4-0898_jpg.rf.abe34e327529797356119539f1ee2776.jpg,0,0,1,0
videoplayback_mp4-0821_jpg.rf.78a91fbd53175bb64b9cbacb403a42a3.jpg,0,1,0,0
videoplayback_mp4-0736_jpg.rf.825069f5fe29fc11b7fedfcb2edbf2c9.jpg,0,1,0,0
videoplayback_mp4-0922_jpg.rf.b4c9f922dec601f3c66a3c193faf02e4.jpg,0,0,0,1
videoplayback_mp4-0032_jpg.rf.a420687abd9b709291251b7634d890f5.jpg,0,0,1,0
videoplayback_mp4-0452_jpg.rf.bbb3fe497b4d26ef48a4f871519d30bf.jpg,0,0,0,1
videoplayback_mp4-0245_jpg.rf.aca87c0313a7f0d1f20cf1a1a90b431d.jpg,0,1,0,0
videoplayback_mp4-0157_jpg.rf.a0b6867984bd8a5c788017d79cd85808.jpg,0,1,0,0
videoplayback_mp4-0820_jpg.rf.b9ee365a4f7d8b4414af56012a364324.jpg,0,0,0,1
videoplayback_mp4-0932_jpg.rf.d53561007f5c28be72c57f1326992bd8.jpg,0,0,1,0
videoplayback_mp4-0799_jpg.rf.c50d687c3739b4d3790cb603df0efefd.jpg,0,0,1,0
videoplayback_mp4-0893_jpg.rf.d4886acd8ba208c0fea61168309946b8.jpg,0,1,0,0
videoplayback_mp4-0560_jpg.rf.f7e1c68b43487e093229209b3606824c.jpg,0,1,0,0
videoplayback_mp4-0391_jpg.rf.e27ff3efb2fb8d03392e90b17fbdb877.jpg,0,0,1,0
videoplayback_mp4-0338_jpg.rf.e996ba1063f4d7b66f493d00a61c333b.jpg,1,0,0,0
videoplayback_mp4-0797_jpg.rf.cbb8a93358efa7d74205a00dd0b0bde2.jpg,0,0,1,0
videoplayback_mp4-0298_jpg.rf.cf6a074501343c763a434551d6a98a02.jpg,0,1,0,0
videoplayback_mp4-0643_jpg.rf.f71009bfde0182fa3631409fc2c6fb0a.jpg,0,0,0,1
videoplayback_mp4-0301_jpg.rf.bc5ba940a1db5c32aa31b6a28a47b0be.jpg,0,1,0,0
videoplayback_mp4-0566_jpg.rf.f88fd18a73a5ba4ff3371deeb2e1209c.jpg,0,1,0,0
videoplayback_mp4-0188_jpg.rf.e62f6794f7ee4dd982acb2177cdb6b03.jpg,0,0,1,0
videoplayback_mp4-0878_jpg.rf.f6f01ac0e4a17cf4a0167d970700a1c4.jpg,0,0,0,1
videoplayback_mp4-0925_jpg.rf.d3dc72dcd4c429457ab0f604d80ebcb1.jpg,1,0,0,0
videoplayback_mp4-0211_jpg.rf.e64f97d2383b12215ce1e019314a62b3.jpg,0,0,1,0
videoplayback_mp4-0662_jpg.rf.df2023614b6d27112d832553b5567d65.jpg,0,1,0,0
videoplayback_mp4-0593_jpg.rf.d15867db3928dad19379819e770e5f73.jpg,0,0,1,0
